name_with_owner,stargazers,created_at,pushed_at,primary_language,releases_total,issues_total,issues_closed_total,pull_requests_merged_total
lobehub/lobehub,81859,2023-05-21T07:19:12Z,2026-08-20T22:27:38Z,TypeScript,1000,6400,6102,7919
jesseduffield/lazygit,81506,2018-05-19T00:53:06Z,2026-08-20T19:58:53Z,Go,186,2701,1846,2046
spring-projects/spring-boot,81326,2012-10-19T15:02:57Z,2026-08-20T22:32:32Z,Java,354,42945,42467,200
bytedance/deer-flow,80422,2025-05-07T02:50:19Z,2026-08-20T00:57:10Z,Python,1,1875,1352,1777
TapXWorld/ChinaTextbook,80403,2020-01-05T04:11:06Z,2025-10-18T13:39:24Z,Roff,0,191,80,1
netdata/netdata,80244,2013-06-17T18:39:10Z,2026-08-20T22:18:50Z,Go,138,8308,8118,12937
swisskyrepo/PayloadsAllTheThings,80209,2016-10-18T07:29:07Z,2026-08-09T13:38:47Z,Python,5,0,0,570
hoppscotch/hoppscotch,80063,2019-08-21T13:15:24Z,2026-08-20T16:38:46Z,TypeScript,107,2505,1938,2141
Egonex-AI/Understand-Anything,79931,2026-03-15T02:30:51Z,2026-08-11T14:13:37Z,TypeScript,8,243,135,123
d2l-ai/d2l-zh,79829,2017-08-23T04:40:24Z,2024-07-30T09:32:19Z,Python,16,0,0,1019
anuraghazra/github-readme-stats,79828,2020-07-09T10:34:22Z,2026-07-31T00:50:25Z,JavaScript,0,1396,1228,1569
doocs/advanced-java,79074,2018-10-06T11:38:30Z,2026-06-25T02:21:18Z,Java,1,149,149,94
Z4nzu/hackingtool,79046,2020-04-11T09:21:31Z,2026-08-02T16:54:01Z,Python,0,524,406,59
paperclipai/paperclip,79005,2026-03-02T15:01:51Z,2026-08-20T23:05:32Z,TypeScript,20,2890,792,1809
coder/code-server,78980,2019-02-27T16:50:41Z,2026-08-20T21:45:26Z,TypeScript,253,3866,3723,1763
ventoy/Ventoy,78849,2020-03-10T15:19:19Z,2026-08-06T04:51:23Z,C,115,2832,1935,302
unclecode/crawl4ai,78786,2024-05-09T09:48:50Z,2026-08-20T09:23:36Z,Python,20,1021,984,231
Leonxlnx/taste-skill,78607,2026-02-19T21:44:05Z,2026-08-17T22:57:24Z,JavaScript,0,41,12,8
awesomedata/awesome-public-datasets,78270,2014-11-20T06:20:50Z,2026-08-04T19:54:53Z,,1,131,49,188
opendatalab/MinerU,78094,2024-02-29T08:52:34Z,2026-08-19T10:42:08Z,Python,186,2339,2286,1539
elastic/elasticsearch,77847,2010-02-08T13:20:56Z,2026-08-20T23:00:07Z,Java,261,47020,42360,95656
tensorflow/models,77647,2016-02-05T01:15:20Z,2026-08-20T21:31:44Z,Python,51,7322,6247,2345
dair-ai/Prompt-Engineering-Guide,77637,2022-12-16T16:04:50Z,2026-03-11T20:09:13Z,MDX,0,254,74,342
nomic-ai/gpt4all,77402,2023-03-27T18:49:32Z,2025-05-27T20:05:19Z,C++,38,2224,1494,938
FortAwesome/Font-Awesome,76851,2012-02-17T14:19:43Z,2026-07-15T18:15:53Z,JavaScript,65,19934,19644,222
rtk-ai/rtk,76822,2026-01-22T16:54:16Z,2026-08-20T11:24:10Z,Rust,281,1431,449,552
MisterBooo/LeetCodeAnimation,76696,2018-12-06T08:01:22Z,2026-06-12T13:49:06Z,Java,0,61,43,63
nestjs/nest,76410,2017-02-04T20:12:52Z,2026-08-20T02:08:53Z,TypeScript,158,5860,5854,8699
grafana/grafana,76332,2013-12-11T15:59:56Z,2026-08-20T22:33:37Z,TypeScript,640,44929,42198,69562
sdmg15/Best-websites-a-programmer-should-visit,76273,2017-03-05T20:25:17Z,2025-09-16T18:34:24Z,,0,185,105,430
redis/redis,76063,2009-03-21T22:32:25Z,2026-08-20T14:45:16Z,C,150,7059,4801,4763
tesseract-ocr/tesseract,76049,2014-08-12T18:04:59Z,2026-08-17T06:09:36Z,C++,36,2765,2329,1467
AppFlowy-IO/AppFlowy,75789,2021-06-16T12:56:48Z,2026-08-11T13:01:19Z,Dart,142,4215,3319,3895
ocornut/imgui,75758,2014-07-21T14:29:47Z,2026-08-19T11:39:50Z,C++,122,6919,5872,427
typicode/json-server,75681,2013-11-27T13:21:13Z,2026-03-23T19:40:00Z,JavaScript,49,1193,576,171
D4Vinci/Scrapling,75543,2024-10-13T20:29:53Z,2026-08-19T20:19:22Z,Python,52,149,147,106
openai/openai-cookbook,75409,2022-03-11T02:08:53Z,2026-08-20T20:46:14Z,Jupyter Notebook,0,818,740,1087
obsproject/obs-studio,75248,2013-10-01T02:40:31Z,2026-08-20T22:54:10Z,C,247,5191,4392,5569
PKUFlyingPig/cs-self-learning,75076,2021-10-20T13:43:42Z,2026-08-13T14:21:23Z,HTML,5,238,108,319
caddyserver/caddy,75055,2015-01-13T19:45:03Z,2026-08-19T03:07:24Z,Go,136,4602,4402,2393
shareAI-lab/learn-claude-code,74800,2025-06-29T15:34:15Z,2026-08-18T17:42:28Z,Python,0,201,165,82
python/cpython,74453,2017-02-10T19:23:51Z,2026-08-20T19:53:54Z,Python,0,77761,70718,62701
enaqx/awesome-react,74347,2014-08-06T05:31:44Z,2026-08-20T07:58:12Z,,0,127,122,799
apache/superset,74325,2015-07-21T18:55:34Z,2026-08-20T22:46:25Z,Python,267,12665,12456,19722
abi/screenshot-to-code,74288,2023-11-14T17:53:32Z,2026-08-14T17:20:50Z,Python,0,404,284,83
